Skyline College,,,,Open Classes,Fall 2022,-,,,,,,8/6/2022,4:34:04,AM,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
80005,ACTG,100,JA,Accounting Procedures,08/17-12/14,W,1830 - 2130,"Viertel, Clayton Tony",3,3,2-08,8211,,,
80006,ACTG,100,OLH,Accounting Procedures,08/17-12/17,,-,"Zhang, Hellen Li Tian",3,3,2-ONLN,0,Y,,
88203,ACTG,103,OLH,Ten-Key Skills,08/17-10/15,,-,"Zhang, Hellen Li Tian",0.5,0.5,2-ONLN,0,Y,,
89880,ACTG,121,AC,Financial Accounting,08/17-12/07,MW,1010 - 1215,"Zhang, Hellen Li Tian",4,4,2-08,8211,,,
93073,ACTG,121,ONH,Financial Accounting,08/17-12/17,,-,"Viertel, Clayton Tony",4,4,2-ONLN,0,Y,,
97775,ACTG,121,OSH,Financial Accounting,08/17-10/15,,-,"Viertel, Clayton Tony",4,,2-ONLN,0,,,
93140,ACTG,131,OLH,Managerial Accounting,08/17-12/17,,-,"Zhang, Hellen Li Tian",4,4,2-ONLN,0,Y,,
85718,ACTG,131,OMH,Managerial Accounting,10/17-12/10,,-,"Viertel, Clayton Tony",4,4,2-ONLN,0,Y,,
94520,ACTG,144,OLH,QuickBooks Set-up/Service Bus.,08/17-10/15,,-,"Claire, Richard S",1.5,,2-ONLN,0,Y,,
94521,ACTG,145,OSH,QuickBooksPayroll/Merchndising,10/17-12/10,,-,"Claire, Richard S",1.5,,2-ONLN,0,Y,,
97255,ACTG,146,OLH,Accounting for Payroll,08/17-12/17,,-,"Korniakov, Alexander",3,,2-ONLN,0,Y,,
95420,ACTG,154,OLH,Governmental & Nonprofit Actg,08/17-12/17,,-,"Zhang, Hellen Li Tian",3,,2-ONLN,0,Y,,
95951,ACTG,171,OLH,Federal Income Tax,08/17-12/17,,-,"Korniakov, Alexander",4,,2-ONLN,0,Y,,
